Cell	Celltype	JSD
adnp.L	Acinar cell	0.9988059411811343
adnp.L	Antigen presentation cell	0.9865957299041239
adnp.L	B cell	0.9899296625522066
adnp.L	Cardiomyocytes	0.981685914629672
adnp.L	Chondrocyte	0.971002617299898
adnp.L	Ciliated cell	0.9922563116068321
adnp.L	Collecting duct intercalated cell	0.9820534536920279
adnp.L	Endocrine cell	0.9631597308471344
adnp.L	Endothelial cell	0.9730015786549511
adnp.L	Enterocyte	0.9469232418310352
adnp.L	Eosinophil	0.9671221034374836
adnp.L	Epidermal stem cell	0.9506587129907896
adnp.L	Epithelial cell	0.9426407639503349
adnp.L	Erythrocyte	0.9725969324282827
adnp.L	Fast skeletal muscle cell	0.9958542040230407
adnp.L	Fibroblast	0.9579719265856439
adnp.L	Hepatocyte	0.9934414852168907
adnp.L	Macrophage	0.9704949007889856
adnp.L	Melanocyte	0.9878455142452232
adnp.L	Muscle satellite cell	0.988326556602106
adnp.L	Neuron	0.983898738768505
adnp.L	Oligodendrocyte	0.9825001789792212
adnp.L	Osteoclast	0.9969207840226344
adnp.L	Pit cell	0.984831787550704
adnp.L	Proximal tubule cell	0.9808023617949003
adnp.L	Smooth muscle cell	0.9741060228902376
adnp.L	Stomach parietal cell	0.9905827995432726
adnp.L	Stromal cell	0.9799809516657418
adnp.L	T cell	0.9549520504218865
adnp.L	Taste cell	0.983477932008981
adnp.L	Thick Ascending Limb	0.9925037825719976
adnp.L	Unknown	0.9854816046968466
adnp2.L	Acinar cell	1.0000000268759432
adnp2.L	Antigen presentation cell	0.9862107071488859
adnp2.L	B cell	0.9872957175838104
adnp2.L	Cardiomyocytes	0.9983348961218812
adnp2.L	Chondrocyte	0.9818941407464958
adnp2.L	Ciliated cell	0.9930766127400233
adnp2.L	Collecting duct intercalated cell	0.9942467139360656
adnp2.L	Endocrine cell	0.9701975320622687
adnp2.L	Endothelial cell	0.9823943948735792
adnp2.L	Enterocyte	0.9913550253167708
adnp2.L	Eosinophil	0.9917495662006641
adnp2.L	Epidermal stem cell	0.9783190032581269
adnp2.L	Epithelial cell	0.9623863340745916
adnp2.L	Erythrocyte	0.9961118454136544
adnp2.L	Fast skeletal muscle cell	1.0000000268761196
adnp2.L	Fibroblast	0.980734354184664
adnp2.L	Hepatocyte	1.0000000268722027
adnp2.L	Macrophage	0.9951091428186558
adnp2.L	Melanocyte	0.9914340996822204
adnp2.L	Muscle satellite cell	0.9869087946083017
adnp2.L	Neuron	0.9939025246302207
adnp2.L	Oligodendrocyte	0.9914571239812593
adnp2.L	Osteoclast	1.0000000268761737
adnp2.L	Pit cell	0.9833958681757
adnp2.L	Proximal tubule cell	0.9934169139369815
adnp2.L	Smooth muscle cell	0.9947640255907491
adnp2.L	Stomach parietal cell	0.9941922560522136
adnp2.L	Stromal cell	0.9869620762740899
adnp2.L	T cell	0.9566017029708223
adnp2.L	Taste cell	0.9957210953650986
adnp2.L	Thick Ascending Limb	1.000000026875318
adnp2.L	Unknown	0.9949667059528393
aff1.L	Acinar cell	1.0000000225978378
aff1.L	Antigen presentation cell	1.0000000225965746
aff1.L	B cell	0.9978627712035888
aff1.L	Cardiomyocytes	0.986345051032652
aff1.L	Chondrocyte	0.9917190085237079
aff1.L	Ciliated cell	1.0000000225978913
aff1.L	Collecting duct intercalated cell	0.983569477759979
aff1.L	Endocrine cell	0.9562109647469645
aff1.L	Endothelial cell	1.0000000225929724
aff1.L	Enterocyte	0.9692141711532256
aff1.L	Eosinophil	1.00000002259581
aff1.L	Epidermal stem cell	0.99046051129974
aff1.L	Epithelial cell	0.9711736587142905
aff1.L	Erythrocyte	0.9987832941111598
aff1.L	Fast skeletal muscle cell	1.000000022598014
aff1.L	Fibroblast	0.9868192032768096
aff1.L	Hepatocyte	0.9677435067272953
aff1.L	Macrophage	0.9983804096236442
aff1.L	Melanocyte	1.0000000225963126
aff1.L	Muscle satellite cell	0.9929323991328413
aff1.L	Neuron	0.9941522046156981
aff1.L	Oligodendrocyte	1.0000000225962378
aff1.L	Osteoclast	1.0000000225980683
