Cell	Celltype	JSDR
adnp.L	Acinar cell	0.0006183759037506897
adnp.L	B cell	0.009249810559720628
adnp.L	Cardiomyocytes	0.010256412658215974
adnp.L	Chondrocyte	0.029599963938637175
adnp.L	Collecting duct intercalated cell	0.009993433028760101
adnp.L	Endocrine cell	0.0046322934234213076
adnp.L	Endothelial cell	0.015929651630324337
adnp.L	Enterocyte	0.03525345346541986
adnp.L	Eosinophil	0.025196221416893372
adnp.L	Epidermal stem cell	0.046767993517334516
adnp.L	Epithelial cell	0.04017015409549196
adnp.L	Erythrocyte	0.016551946531181305
adnp.L	Fast skeletal muscle cell	0.004193212461618634
adnp.L	Fibroblast	0.03824992106233305
adnp.L	Goblet cell	0.004447877722672744
adnp.L	Hepatocyte	0.013240188414638587
adnp.L	Macrophage	0.018137893453138543
adnp.L	Muscle satellite cell	0.013964270886568708
adnp.L	Neuron	0.021672444077051933
adnp.L	Osteoclast	0.0005988647483562426
adnp.L	Proximal tubule cell	0.004561989441825953
adnp.L	Radial glia	0.01307567466934878
adnp.L	Smooth muscle cell	0.012769168428646283
adnp.L	Stomach parietal cell	0.009063361640719969
adnp.L	Stromal cell	0.024848479962750525
adnp.L	T cell	0.02956978112430486
adnp.L	Umbrella cell	0.014081768604949807
adnp.L	Unknown	0.003143645450429111
adnp2.L	Acinar cell	0.007711073827249781
adnp2.L	B cell	0.0009030335759193653
adnp2.L	Cardiomyocytes	0.006297144807384969
adnp2.L	Chondrocyte	0.009072222382287554
adnp2.L	Collecting duct intercalated cell	0.0022658394952468353
adnp2.L	Endocrine cell	0.002920215492225542
adnp2.L	Endothelial cell	0.00682831113170268
adnp2.L	Enterocyte	0.0066189187372373
adnp2.L	Eosinophil	0.0018420904412526085
adnp2.L	Epidermal stem cell	0.029406414372967093
adnp2.L	Epithelial cell	0.03044875558195359
adnp2.L	Erythrocyte	0.010518342702260597
adnp2.L	Fast skeletal muscle cell	4.785812857122096e-09
adnp2.L	Fibroblast	0.02243457093378931
adnp2.L	Goblet cell	0.004272675941746629
adnp2.L	Hepatocyte	0.0038431880663925
adnp2.L	Macrophage	0.008070229348784541
adnp2.L	Muscle satellite cell	0.010642188690506038
adnp2.L	Neuron	0.016472504678794575
adnp2.L	Osteoclast	4.785265739215561e-09
adnp2.L	Proximal tubule cell	4.785853269240192e-09
adnp2.L	Radial glia	0.005017378879031198
adnp2.L	Smooth muscle cell	0.004918067430736528
adnp2.L	Stomach parietal cell	0.00568416155432272
adnp2.L	Stromal cell	0.012314894093043649
adnp2.L	T cell	0.011435230110369843
adnp2.L	Umbrella cell	0.006295628041907975
adnp2.L	Unknown	4.785597473855319e-09
aff1.L	Acinar cell	-1.6471091157654882e-09
aff1.L	B cell	0.0016952814798013582
aff1.L	Cardiomyocytes	0.002393440837866301
aff1.L	Chondrocyte	0.008558762038061052
aff1.L	Collecting duct intercalated cell	0.008203719877624138
aff1.L	Endocrine cell	0.006696631765767513
aff1.L	Endothelial cell	-1.6459977825178385e-09
aff1.L	Enterocyte	0.024123010329685557
aff1.L	Eosinophil	0.005391255735243461
aff1.L	Epidermal stem cell	0.013744518275033424
aff1.L	Epithelial cell	0.01663579677354521
aff1.L	Erythrocyte	0.000859447737476593
aff1.L	Fast skeletal muscle cell	0.00295610682919234
aff1.L	Fibroblast	0.005964781376973649
aff1.L	Goblet cell	0.011647056479762719
aff1.L	Hepatocyte	0.014031645971224194
aff1.L	Macrophage	0.004599956439253483
aff1.L	Muscle satellite cell	0.0008982773339983874
aff1.L	Neuron	0.015353502569047883
aff1.L	Osteoclast	-1.6471668473627687e-09
aff1.L	Proximal tubule cell	0.0033056966581412883
aff1.L	Radial glia	0.0010199870519150833
aff1.L	Smooth muscle cell	0.002490679771127602
aff1.L	Stomach parietal cell	0.00432417072011726
aff1.L	Stromal cell	0.016363231947882695
aff1.L	T cell	0.0025443371628454114
aff1.L	Umbrella cell	0.005474629085605365
aff1.L	Unknown	0.005521060221353347
aff2.L	Acinar cell	-2.1736456412568828e-08
aff2.L	B cell	-2.17358013809843e-08
aff2.L	Cardiomyocytes	-2.173597901666824e-08
aff2.L	Chondrocyte	0.014441296272877158
aff2.L	Collecting duct intercalated cell	-2.1736143995809698e-08
aff2.L	Endocrine cell	-2.1736377364689474e-08
aff2.L	Endothelial cell	0.0008906778929606007
