Cell	Celltype	JSDR
adnp.L	Acinar cell	7.354386877267416e-09
adnp.L	Cardiomyocytes	7.354426734274e-09
adnp.L	Chondrocyte	0.013269844079908832
adnp.L	Collecting duct intercalated cell	0.0027653869092491012
adnp.L	Cone photoreceptor	0.006559040472178923
adnp.L	Endocrine cell	0.015877723953378164
adnp.L	Endothelial cell	0.005384410181190735
adnp.L	Enterocyte	0.014442427873705754
adnp.L	Eosinophil	0.017892047161462088
adnp.L	Epidermal stem cell	0.009886113932726537
adnp.L	Epithelial cell	0.016407582489978423
adnp.L	Erythrocyte	0.02059282983932098
adnp.L	Fast skeletal muscle cell	0.0008607277314034434
adnp.L	Fibroblast	0.01951298454995265
adnp.L	Goblet cell	0.008072826861762583
adnp.L	Hepatocyte	0.004405743821021102
adnp.L	Immune cell	0.009745526921759229
adnp.L	Macrophage	0.01858358652746095
adnp.L	Melanocyte	0.002479129079458464
adnp.L	Neuron	0.020112793777624094
adnp.L	Oligodendrocyte	7.354639675050123e-09
adnp.L	Proximal tubule cell	0.0006525242231977257
adnp.L	Radial glia	0.014286385597410023
adnp.L	Smooth muscle cell	0.005323871409326886
adnp.L	Stomach parietal cell	0.005630445594988598
adnp.L	T cell	0.012197343615173106
adnp.L	Taste cell	0.0024701395292970885
adnp.L	Umbrella cell	7.354414299776124e-09
adnp.L	Unknown	0.014801704803138471
adnp2.L	Acinar cell	2.782788000033065e-08
adnp2.L	Cardiomyocytes	2.7827919968359538e-08
adnp2.L	Chondrocyte	0.007110264044394854
adnp2.L	Collecting duct intercalated cell	2.7828035653598704e-08
adnp2.L	Cone photoreceptor	2.78280941623521e-08
adnp2.L	Endocrine cell	0.0052135491247939925
adnp2.L	Endothelial cell	0.005870300416971785
adnp2.L	Enterocyte	0.0018583462384966776
adnp2.L	Eosinophil	0.004121376438651514
adnp2.L	Epidermal stem cell	0.006192734838390224
adnp2.L	Epithelial cell	0.006284141258522724
adnp2.L	Erythrocyte	0.012649105426913998
adnp2.L	Fast skeletal muscle cell	2.7827952164827252e-08
adnp2.L	Fibroblast	0.009801929465647397
adnp2.L	Goblet cell	0.011743359097747708
adnp2.L	Hepatocyte	0.0009014533190201401
adnp2.L	Immune cell	0.007408852471346816
adnp2.L	Macrophage	0.003754416552241846
adnp2.L	Melanocyte	2.782802099865478e-08
adnp2.L	Neuron	0.006156114822041814
adnp2.L	Oligodendrocyte	0.002305234494040631
adnp2.L	Proximal tubule cell	2.7828270021679202e-08
adnp2.L	Radial glia	0.006497229284816219
adnp2.L	Smooth muscle cell	0.004654797015169576
adnp2.L	Stomach parietal cell	0.0034355555290395134
adnp2.L	T cell	0.010545746490364438
adnp2.L	Taste cell	2.7827979254269053e-08
adnp2.L	Umbrella cell	0.003931036901014817
adnp2.L	Unknown	0.00509671953225832
aff1.L	Acinar cell	8.775453697040803e-10
aff1.L	Cardiomyocytes	8.775853377329668e-10
aff1.L	Chondrocyte	0.001563172133050239
aff1.L	Collecting duct intercalated cell	0.008722747095682548
aff1.L	Cone photoreceptor	8.77759420703228e-10
aff1.L	Endocrine cell	0.002363502214296931
aff1.L	Endothelial cell	0.0014215468723098867
aff1.L	Enterocyte	0.006841638525805993
aff1.L	Eosinophil	0.0015511051398958697
aff1.L	Epidermal stem cell	0.002784929794757973
aff1.L	Epithelial cell	0.00727723213989151
aff1.L	Erythrocyte	0.00232476536345827
aff1.L	Fast skeletal muscle cell	8.776175342006809e-10
aff1.L	Fibroblast	0.0023113059527095636
aff1.L	Goblet cell	0.0026069984815035863
aff1.L	Hepatocyte	0.017552635027247132
aff1.L	Immune cell	8.788688665717359e-10
aff1.L	Macrophage	0.0011807632053769668
aff1.L	Melanocyte	8.776862570059052e-10
aff1.L	Neuron	8.790785877010876e-10
aff1.L	Oligodendrocyte	8.777981674867874e-10
aff1.L	Proximal tubule cell	0.007513602806177744
aff1.L	Radial glia	0.0007467769344925435
aff1.L	Smooth muscle cell	0.0009058130218752014
aff1.L	Stomach parietal cell	0.0057036361067166474
aff1.L	T cell	8.810273621762121e-10
aff1.L	Taste cell	0.012843587612456075
aff1.L	Umbrella cell	0.003747280270862352
aff1.L	Unknown	0.006775353201514123
aff2.L	Acinar cell	7.610857499784629e-10
aff2.L	Cardiomyocytes	7.611256069850469e-10
aff2.L	Chondrocyte	0.0042776361388271456
aff2.L	Collecting duct intercalated cell	0.0031977681179594653
aff2.L	Cone photoreceptor	0.005038192854281753
aff2.L	Endocrine cell	7.617890762645629e-10
aff2.L	Endothelial cell	0.006210312389914874
aff2.L	Enterocyte	0.0011156090151107634
aff2.L	Eosinophil	0.0006037873117150649
aff2.L	Epidermal stem cell	7.640184040980103e-10
aff2.L	Epithelial cell	0.000566554358232163
aff2.L	Erythrocyte	0.0014297978952045876
aff2.L	Fast skeletal muscle cell	7.611578034527611e-10
aff2.L	Fibroblast	0.008492266507874935
aff2.L	Goblet cell	0.001463183245085431
aff2.L	Hepatocyte	0.00281921816025954
aff2.L	Immune cell	7.624091358238161e-10
aff2.L	Macrophage	0.0010424394626352695
aff2.L	Melanocyte	7.612266372802878e-10
aff2.L	Neuron	0.008639844953127529
aff2.L	Oligodendrocyte	0.007891489610885039
aff2.L	Proximal tubule cell	7.614756603047113e-10
aff2.L	Radial glia	0.0028622280233283615
aff2.L	Smooth muscle cell	7.644134214501719e-10
aff2.L	Stomach parietal cell	7.625268194644264e-10
aff2.L	T cell	0.006655460901417776
aff2.L	Taste cell	7.611850039168644e-10
aff2.L	Umbrella cell	7.611131724871711e-10
aff2.L	Unknown	0.010458947360282633
aff4.L	Acinar cell	-1.6235447208856613e-08
aff4.L	Cardiomyocytes	-1.623540746287233e-08
aff4.L	Chondrocyte	0.0016120639535718295
aff4.L	Collecting duct intercalated cell	-1.6235291777633165e-08
aff4.L	Cone photoreceptor	0.0037228553927186603
aff4.L	Endocrine cell	0.001956883272302923
aff4.L	Endothelial cell	0.0034633450987676673
aff4.L	Enterocyte	0.0062169163311542874
aff4.L	Eosinophil	0.004152748560795505
aff4.L	Epidermal stem cell	0.0033214385034945337
aff4.L	Epithelial cell	0.00484444289094188
aff4.L	Erythrocyte	0.005800654152203433
aff4.L	Fast skeletal muscle cell	-1.6235375266404617e-08
aff4.L	Fibroblast	0.006193988427626307
aff4.L	Goblet cell	0.007830005375912386
aff4.L	Hepatocyte	0.005479785940399995
aff4.L	Immune cell	0.00643946797131445
aff4.L	Macrophage	0.008697834049481545
aff4.L	Melanocyte	-1.623530643257709e-08
aff4.L	Neuron	-1.6233913990859605e-08
aff4.L	Oligodendrocyte	0.003987330391682642
aff4.L	Proximal tubule cell	0.0018273088341168586
aff4.L	Radial glia	0.004457015955862675
aff4.L	Smooth muscle cell	0.004309384006929484
aff4.L	Stomach parietal cell	0.0009683648103726572
aff4.L	T cell	0.0030927543088968834
aff4.L	Taste cell	-1.6235348176962816e-08
aff4.L	Umbrella cell	-1.6235419897370207e-08
aff4.L	Unknown	0.004554333875440464
ahr.L	Acinar cell	0.001966505302132715
ahr.L	Cardiomyocytes	-4.440511514047785e-09
ahr.L	Chondrocyte	0.01213291749576606
ahr.L	Collecting duct intercalated cell	0.0009638684201993541
ahr.L	Cone photoreceptor	0.0013397209601522242
ahr.L	Endocrine cell	0.0018728430786469907
ahr.L	Endothelial cell	0.015065881187743324
ahr.L	Enterocyte	0.001836008982863846
