Cell	Celltype	JSDR
adnp.L	Acinar cell	0.005960792744901022
adnp.L	B cell	0.0025630530455809097
adnp.L	Chondrocyte	0.03231451273017849
adnp.L	Collecting duct intercalated cell	0.006385400071955538
adnp.L	Cone photoreceptor	0.007249209642952503
adnp.L	Endocrine cell	0.01064651957735474
adnp.L	Endothelial cell	0.011309803795171658
adnp.L	Eosinophil	0.021231082459885697
adnp.L	Epidermal stem cell	0.013631751187406893
adnp.L	Epithelial cell	0.017769494004951758
adnp.L	Erythrocyte	0.01088884614210528
adnp.L	Fast skeletal muscle cell	0.004435145053885092
adnp.L	Fibroblast	0.03671635426761899
adnp.L	Hepatocyte	0.0052750406175738895
adnp.L	Lens fiber cell	0.001207052021272359
adnp.L	Macrophage	0.020922407185192005
adnp.L	Melanocyte	0.016756984872460468
adnp.L	Muscle satellite cell	0.02139032782320005
adnp.L	Neuron	0.030485853627583936
adnp.L	Oligodendrocyte	0.004299846435421029
adnp.L	Proximal tubule cell	0.005681431796531022
adnp.L	Radial glia	0.0261209335307242
adnp.L	Retinal pigment epithelial cell	0.008412194402243056
adnp.L	Secretory cell	0.004078029924249993
adnp.L	Stromal cell	0.02005903386331631
adnp.L	Taste cell	0.005744970344058298
adnp.L	Umbrella cell	0.029317067098656113
adnp2.L	Acinar cell	0.002553757148757607
adnp2.L	B cell	0.003926652055376456
adnp2.L	Chondrocyte	0.01716885875972951
adnp2.L	Collecting duct intercalated cell	0.0014772386821085837
adnp2.L	Cone photoreceptor	0.0071651781767830824
adnp2.L	Endocrine cell	0.007545777215881899
adnp2.L	Endothelial cell	0.008044012678434465
adnp2.L	Eosinophil	0.004125987494625338
adnp2.L	Epidermal stem cell	0.009235604067748149
adnp2.L	Epithelial cell	0.011410090939732331
adnp2.L	Erythrocyte	0.0043642599207590616
adnp2.L	Fast skeletal muscle cell	0.004053708151593893
adnp2.L	Fibroblast	0.020753432349470025
adnp2.L	Hepatocyte	0.001055549874134587
adnp2.L	Lens fiber cell	0.0012165857179460282
adnp2.L	Macrophage	0.007847198361389585
adnp2.L	Melanocyte	0.014054902581177586
adnp2.L	Muscle satellite cell	0.0115044550031288
adnp2.L	Neuron	0.027131317508297004
adnp2.L	Oligodendrocyte	0.001656515485464305
adnp2.L	Proximal tubule cell	0.0020195473399762243
adnp2.L	Radial glia	0.0175279653976248
adnp2.L	Retinal pigment epithelial cell	0.007618094183934443
adnp2.L	Secretory cell	0.0028521548242234074
adnp2.L	Stromal cell	0.010588878690707793
adnp2.L	Taste cell	0.006961092517110967
adnp2.L	Umbrella cell	0.012413858118645593
aff1.L	Acinar cell	0.020131155375074372
aff1.L	B cell	-1.49147292294316e-08
aff1.L	Chondrocyte	0.0038935417798251493
aff1.L	Collecting duct intercalated cell	0.0017866845599632253
aff1.L	Cone photoreceptor	0.002645511141100898
aff1.L	Endocrine cell	0.013107626130149486
aff1.L	Endothelial cell	0.001617973879733836
aff1.L	Eosinophil	0.003093380524467171
aff1.L	Epidermal stem cell	0.006400215567119449
aff1.L	Epithelial cell	0.002794717294684057
aff1.L	Erythrocyte	0.0006422351909487478
aff1.L	Fast skeletal muscle cell	0.0013268833121510282
aff1.L	Fibroblast	0.005484000798194777
aff1.L	Hepatocyte	0.009341068718040413
aff1.L	Lens fiber cell	0.0060677351878657415
aff1.L	Macrophage	0.010004221665744883
aff1.L	Melanocyte	-1.4912855395010638e-08
aff1.L	Muscle satellite cell	0.005836691345819767
aff1.L	Neuron	0.0011779782252178128
aff1.L	Oligodendrocyte	-1.491497170214018e-08
aff1.L	Proximal tubule cell	0.003194965234258995
aff1.L	Radial glia	0.0029692685559760124
aff1.L	Retinal pigment epithelial cell	0.001515582505004276
aff1.L	Secretory cell	0.004347785277069582
aff1.L	Stromal cell	0.002782110019017958
aff1.L	Taste cell	0.0017735978037680677
aff1.L	Umbrella cell	0.010865101405260869
aff2.L	Acinar cell	0.001479679962578695
aff2.L	B cell	2.2156803169970374e-08
aff2.L	Chondrocyte	0.009273425863454143
aff2.L	Collecting duct intercalated cell	2.2156746437573815e-08
aff2.L	Cone photoreceptor	0.0027751845011810827
aff2.L	Endocrine cell	0.004908572420067259
aff2.L	Endothelial cell	0.0010218550282473648
aff2.L	Eosinophil	2.215869521204894e-08
aff2.L	Epidermal stem cell	0.00036612280957804
aff2.L	Epithelial cell	0.002741505127303756
aff2.L	Erythrocyte	0.006990955794776488
aff2.L	Fast skeletal muscle cell	2.215735983579492e-08
aff2.L	Fibroblast	0.018820904830226026
aff2.L	Hepatocyte	0.0015324681213823022
aff2.L	Lens fiber cell	2.215638228442174e-08
aff2.L	Macrophage	0.003951920280788723
aff2.L	Melanocyte	0.0009832500581997694
aff2.L	Muscle satellite cell	0.0024245347097693326
aff2.L	Neuron	0.018355908895407613
aff2.L	Oligodendrocyte	0.006185162754111184
aff2.L	Proximal tubule cell	0.0011285869951235261
aff2.L	Radial glia	0.003934607267133572
aff2.L	Retinal pigment epithelial cell	0.0033555675332235246
aff2.L	Secretory cell	0.0012054735755767654
aff2.L	Stromal cell	0.007279448722590565
aff2.L	Taste cell	2.2156452450516895e-08
aff2.L	Umbrella cell	0.0007913420409634275
aff4.L	Acinar cell	0.004411087246400491
aff4.L	B cell	0.003294929656788348
aff4.L	Chondrocyte	0.00968801779512607
aff4.L	Collecting duct intercalated cell	0.004053238708979556
aff4.L	Cone photoreceptor	0.003418641669758915
aff4.L	Endocrine cell	0.004047223851746051
aff4.L	Endothelial cell	0.0052901154530135
aff4.L	Eosinophil	0.005345058050228668
aff4.L	Epidermal stem cell	0.007327365494518401
aff4.L	Epithelial cell	0.0038805927130161066
aff4.L	Erythrocyte	0.003189174490980329
aff4.L	Fast skeletal muscle cell	0.0015620423218797308
aff4.L	Fibroblast	0.010055863731730397
aff4.L	Hepatocyte	0.002221897856351296
aff4.L	Lens fiber cell	1.8736531437468784e-08
aff4.L	Macrophage	0.00796007798595455
aff4.L	Melanocyte	0.0022630973672018717
aff4.L	Muscle satellite cell	0.0073363272268667234
aff4.L	Neuron	0.004427780538112436
aff4.L	Oligodendrocyte	0.0020846430426794127
aff4.L	Proximal tubule cell	0.00364091540702427
aff4.L	Radial glia	0.0034837140283886514
aff4.L	Retinal pigment epithelial cell	0.001211800014117248
aff4.L	Secretory cell	0.0036876401293217675
aff4.L	Stromal cell	0.005665397054837706
aff4.L	Taste cell	0.007163527984258566
aff4.L	Umbrella cell	0.014139919680397406
ahr.L	Acinar cell	0.004214245642188863
ahr.L	B cell	0.0028575003380651998
ahr.L	Chondrocyte	0.023029153582528883
ahr.L	Collecting duct intercalated cell	0.0034512710675840275
ahr.L	Cone photoreceptor	0.002118509004884306
ahr.L	Endocrine cell	0.004747073765704712
ahr.L	Endothelial cell	0.012922506701579128
ahr.L	Eosinophil	0.022895083631099822
ahr.L	Epidermal stem cell	0.006569272250333769
ahr.L	Epithelial cell	0.012222363274007053
ahr.L	Erythrocyte	0.005529575265191045
ahr.L	Fast skeletal muscle cell	0.0029700113518592586
ahr.L	Fibroblast	0.042325867246319926
ahr.L	Hepatocyte	0.006026224170530559
