Cell	Celltype	JSD
aff4.L	Fast skeletal muscle cell	0.9968783553324558
aff4.L	Fibroblast	0.9799893929319303
aff4.L	Hepatocyte	0.9955611411173815
aff4.L	Lens fiber cell	0.9999999625269376
aff4.L	Macrophage	0.9841432068696333
aff4.L	Melanocyte	0.9954789268752897
aff4.L	Muscle satellite cell	0.9853811672434462
aff4.L	Neuron	0.9911640441642687
aff4.L	Oligodendrocyte	0.9958350596512565
aff4.L	Proximal tubule cell	0.9927314254509526
aff4.L	Radial glia	0.9930447082066542
aff4.L	Retinal pigment epithelial cell	0.9975778684310398
aff4.L	Secretory cell	0.9926383184310799
aff4.L	Stromal cell	0.9887013026141135
aff4.L	Taste cell	0.9857242601646641
aff4.L	Umbrella cell	0.9719200979677733
ahr.L	Acinar cell	0.991589268581955
ahr.L	B cell	0.9942931646320516
ahr.L	Chondrocyte	0.95447203474967
ahr.L	Collecting duct intercalated cell	0.9931093691368139
ahr.L	Cone photoreceptor	0.9957674700706353
ahr.L	Endocrine cell	0.9905283871779276
ahr.L	Endothelial cell	0.9743219777762941
ahr.L	Eosinophil	0.9547340175922754
ahr.L	Epidermal stem cell	0.9869046108372315
ahr.L	Epithelial cell	0.9757046596159877
ahr.L	Erythrocyte	0.9889714256722313
ahr.L	Fast skeletal muscle cell	0.9940687982637118
ahr.L	Fibroblast	0.9171397445455132
ahr.L	Hepatocyte	0.9879838670366923
ahr.L	Lens fiber cell	0.9975663974045362
ahr.L	Macrophage	0.9679932116919436
ahr.L	Melanocyte	0.98511821790584
ahr.L	Muscle satellite cell	0.9752812032549261
ahr.L	Neuron	0.9798758059414645
ahr.L	Oligodendrocyte	0.9912615080919098
ahr.L	Proximal tubule cell	0.9951212489453596
ahr.L	Radial glia	0.977205494764861
ahr.L	Retinal pigment epithelial cell	0.9903975971527337
ahr.L	Secretory cell	0.9947472324120432
ahr.L	Stromal cell	0.9342763239655463
ahr.L	Taste cell	0.9940403765559065
ahr.L	Umbrella cell	0.9843991711651756
alx1.L	Acinar cell	0.9897550364328871
alx1.L	B cell	1.0000000078209572
alx1.L	Chondrocyte	0.9695375798701411
alx1.L	Collecting duct intercalated cell	0.9990851974773964
alx1.L	Cone photoreceptor	0.9979146128587207
alx1.L	Endocrine cell	0.9982154616004414
alx1.L	Endothelial cell	0.9959555973076637
alx1.L	Eosinophil	0.9985577776445862
alx1.L	Epidermal stem cell	0.9974330354850652
alx1.L	Epithelial cell	0.9971969238837036
alx1.L	Erythrocyte	0.9992425443868438
alx1.L	Fast skeletal muscle cell	0.9967537467077163
alx1.L	Fibroblast	0.924185812301303
alx1.L	Hepatocyte	0.9969477317279671
alx1.L	Lens fiber cell	0.9971134491580267
alx1.L	Macrophage	0.9978408016296925
alx1.L	Melanocyte	0.9947627297007653
alx1.L	Muscle satellite cell	0.9979607142111071
alx1.L	Neuron	0.9981263585138793
alx1.L	Oligodendrocyte	0.9965602538608573
alx1.L	Proximal tubule cell	1.0000000078206321
alx1.L	Radial glia	0.996970266447341
alx1.L	Retinal pigment epithelial cell	0.9960870214032409
alx1.L	Secretory cell	1.0000000078215
alx1.L	Stromal cell	0.9909541061275551
alx1.L	Taste cell	0.9969932591122663
alx1.L	Umbrella cell	0.9978704657130169
alx4.L	Acinar cell	0.9958979476150562
alx4.L	B cell	0.9999999841518975
alx4.L	Chondrocyte	0.9973315270880758
alx4.L	Collecting duct intercalated cell	0.9999999841520111
alx4.L	Cone photoreceptor	0.9999999841509606
alx4.L	Endocrine cell	0.9999999841511842
alx4.L	Endothelial cell	0.9999999841484759
alx4.L	Eosinophil	0.9999999841481135
alx4.L	Epidermal stem cell	0.9999999841449636
alx4.L	Epithelial cell	0.9984685945283296
alx4.L	Erythrocyte	0.9999999841481181
alx4.L	Fast skeletal muscle cell	0.9999999841507842
alx4.L	Fibroblast	0.9933786904902231
alx4.L	Hepatocyte	0.995613670417262
alx4.L	Lens fiber cell	0.9999999841527394
alx4.L	Macrophage	0.9999999841448792
alx4.L	Melanocyte	0.9713290125060047
alx4.L	Muscle satellite cell	0.9999999841387097
alx4.L	Neuron	0.9999999841393807
alx4.L	Oligodendrocyte	0.9999999841523826
alx4.L	Proximal tubule cell	0.9999999841515725
alx4.L	Radial glia	0.9987401585073175
alx4.L	Retinal pigment epithelial cell	0.9999999841512074
alx4.L	Secretory cell	0.9999999841524402
alx4.L	Stromal cell	0.9991357260956553
alx4.L	Taste cell	0.999999984152599
alx4.L	Umbrella cell	0.9999999841399831
ar.L	Acinar cell	0.9977954514674082
ar.L	B cell	1.000000023891972
ar.L	Chondrocyte	0.9910335328190206
ar.L	Collecting duct intercalated cell	1.0000000238920856
ar.L	Cone photoreceptor	0.9958928305207737
ar.L	Endocrine cell	0.9978400725063634
ar.L	Endothelial cell	1.0000000238885502
ar.L	Eosinophil	0.9992012959934661
ar.L	Epidermal stem cell	0.9939389925487185
ar.L	Epithelial cell	0.991852081362638
ar.L	Erythrocyte	0.9981937190483863
ar.L	Fast skeletal muscle cell	1.0000000238908586
ar.L	Fibroblast	0.9747553165403052
ar.L	Hepatocyte	1.0000000238912725
ar.L	Lens fiber cell	1.000000023892814
ar.L	Macrophage	0.9991474472386632
ar.L	Melanocyte	0.9989526630098406
ar.L	Muscle satellite cell	0.9931561592042665
ar.L	Neuron	0.994806442593019
ar.L	Oligodendrocyte	1.0000000238924571
ar.L	Proximal tubule cell	0.9480782313631826
ar.L	Radial glia	0.9902686870690798
ar.L	Retinal pigment epithelial cell	1.0000000238912818
