Cell	Celltype	JSD
adnp.L	Acinar cell	0.9987636305812571
adnp.L	B cell	0.9815859378759495
adnp.L	Cardiomyocytes	0.9795923686841836
adnp.L	Chondrocyte	0.9416762299878942
adnp.L	Collecting duct intercalated cell	0.9801130026461802
adnp.L	Endocrine cell	0.9907568712955181
adnp.L	Endothelial cell	0.9683944505404147
adnp.L	Enterocyte	0.9307358990503989
adnp.L	Eosinophil	0.9502424067399025
adnp.L	Epidermal stem cell	0.9086512581829683
adnp.L	Epithelial cell	0.9212733330890717
adnp.L	Erythrocyte	0.9671700738716085
adnp.L	Fast skeletal muscle cell	0.9916311581075109
adnp.L	Fibroblast	0.9249632143366087
adnp.L	Goblet cell	0.9911240281708903
adnp.L	Hepatocyte	0.9736949257599778
adnp.L	Macrophage	0.9640531962726404
adnp.L	Muscle satellite cell	0.9722664590882562
adnp.L	Neuron	0.957124806678169
adnp.L	Osteoclast	0.9988026291422742
adnp.L	Proximal tubule cell	0.9908968328640155
adnp.L	Radial glia	0.974019623929361
adnp.L	Smooth muscle cell	0.9746247148050665
adnp.L	Stomach parietal cell	0.9819554212427904
adnp.L	Stromal cell	0.9509204870309582
adnp.L	T cell	0.9417348097071296
adnp.L	Umbrella cell	0.9720347589971438
adnp.L	Unknown	0.9937225916058597
adnp2.L	Acinar cell	0.9846373130050696
adnp2.L	B cell	0.9981947483178004
adnp2.L	Cardiomyocytes	0.9874453644179553
adnp2.L	Chondrocyte	0.9819378604543785
adnp2.L	Collecting duct intercalated cell	0.9954734550381246
adnp2.L	Endocrine cell	0.99416809667407
adnp2.L	Endothelial cell	0.9863900035695059
adnp2.L	Enterocyte	0.9868059726107755
adnp2.L	Eosinophil	0.9963192124146885
adnp2.L	Epidermal stem cell	0.9420519084603404
adnp2.L	Epithelial cell	0.9400296155525824
adnp2.L	Erythrocyte	0.9790739501286809
adnp2.L	Fast skeletal muscle cell	0.9999999904283743
adnp2.L	Fibroblast	0.9556341681054046
adnp2.L	Goblet cell	0.99147290387621
adnp2.L	Hepatocyte	0.9923283939617287
adnp2.L	Macrophage	0.9839246699041728
adnp2.L	Muscle satellite cell	0.9788288787991122
adnp2.L	Neuron	0.9673263340528038
adnp2.L	Osteoclast	0.9999999904294685
adnp2.L	Proximal tubule cell	0.9999999904282935
adnp2.L	Radial glia	0.9899904163327533
adnp2.L	Smooth muscle cell	0.9901880525257802
adnp2.L	Stomach parietal cell	0.9886639865839302
adnp2.L	Stromal cell	0.9755218684304356
adnp2.L	T cell	0.9772603042669374
adnp2.L	Umbrella cell	0.9874483788486261
adnp2.L	Unknown	0.999999990428805
aff1.L	Acinar cell	1.0000000032942182
aff1.L	B cell	0.9966123110196929
aff1.L	Cardiomyocytes	0.9952188468833119
aff1.L	Chondrocyte	0.982955728331502
aff1.L	Collecting duct intercalated cell	0.9836598612645822
aff1.L	Endocrine cell	0.9866515813454713
