Cell	Celltype	JSD
adnp.L	Acinar cell	0.9999999852912262
adnp.L	Cardiomyocytes	0.9999999852911465
adnp.L	Chondrocyte	0.9736364006020874
adnp.L	Collecting duct intercalated cell	0.9944768735462596
adnp.L	Cone photoreceptor	0.9869249400675579
adnp.L	Endocrine cell	0.9684966542111832
adnp.L	Endothelial cell	0.9892601715106177
adnp.L	Enterocyte	0.9713237279754756
adnp.L	Eosinophil	0.9645360310287039
adnp.L	Epidermal stem cell	0.9803255073832378
adnp.L	Epithelial cell	0.9674540437832087
adnp.L	Erythrocyte	0.9592384049621493
adnp.L	Fast skeletal muscle cell	0.9982792853894208
adnp.L	Fibroblast	0.9613547874661414
adnp.L	Goblet cell	0.9839195168100148
adnp.L	Hepatocyte	0.9912079229365743
adnp.L	Immune cell	0.9806039214514644
adnp.L	Macrophage	0.9631781766333017
adnp.L	Melanocyte	0.9950478879220758
adnp.L	Neuron	0.960178936918293
adnp.L	Oligodendrocyte	0.9999999852907206
adnp.L	Proximal tubule cell	0.9986953773414664
adnp.L	Radial glia	0.9716313296186179
adnp.L	Smooth muscle cell	0.9893806007881292
adnp.L	Stomach parietal cell	0.988770810727621
adnp.L	T cell	0.9757540879609203
adnp.L	Taste cell	0.9950658225307001
adnp.L	Umbrella cell	0.9999999852911714
adnp.L	Unknown	0.9706156808588022
adnp2.L	Acinar cell	0.9999999443442407
adnp2.L	Cardiomyocytes	0.9999999443441607
adnp2.L	Chondrocyte	0.9858300277659913
adnp2.L	Collecting duct intercalated cell	0.9999999443439294
adnp2.L	Cone photoreceptor	0.9999999443438125
adnp2.L	Endocrine cell	0.9896000828448888
adnp2.L	Endothelial cell	0.988293859593042
adnp2.L	Enterocyte	0.9962867609737487
adnp2.L	Eosinophil	0.9917742328664461
adnp2.L	Epidermal stem cell	0.9876528802879981
adnp2.L	Epithelial cell	0.9874712079143115
adnp2.L	Erythrocyte	0.9748617890142732
adnp2.L	Fast skeletal muscle cell	0.9999999443440963
adnp2.L	Fibroblast	0.9804922188899546
adnp2.L	Goblet cell	0.9766511882874032
adnp2.L	Hepatocyte	0.9981979059800461
adnp2.L	Immune cell	0.9852371861522486
adnp2.L	Macrophage	0.9925052625391642
adnp2.L	Melanocyte	0.9999999443439587
adnp2.L	Neuron	0.9877256681056186
adnp2.L	Oligodendrocyte	0.9953948451179911
adnp2.L	Proximal tubule cell	0.9999999443434606
adnp2.L	Radial glia	0.987047755418747
adnp2.L	Smooth muscle cell	0.9907120731049133
adnp2.L	Stomach parietal cell	0.993140691983714
adnp2.L	T cell	0.9790197197883101
adnp2.L	Taste cell	0.9999999443440422
adnp2.L	Umbrella cell	0.9921533792490875
adnp2.L	Unknown	0.989832537485474
aff1.L	Acinar cell	0.9999999982449093
aff1.L	Cardiomyocytes	0.9999999982448293
aff1.L	Chondrocyte	0.9968760992410172
aff1.L	Collecting duct intercalated cell	0.9826305921255301
aff1.L	Cone photoreceptor	0.9999999982444812
aff1.L	Endocrine cell	0.9952785817141232
aff1.L	Endothelial cell	0.9971589270508905
aff1.L	Enterocyte	0.9863635309661059
aff1.L	Eosinophil	0.9969001956473633
