Cell	Celltype	JSDR
aff2.L	Melanocyte	0.0011734432342606071
aff2.L	Muscle satellite cell	-1.7424310883029648e-08
aff2.L	Neuron	-1.742547239835801e-08
aff2.L	Oligodendrocyte	0.007052172241429622
aff2.L	Osteoclast	-1.7426209808490967e-08
aff2.L	Pit cell	0.0020594127843940324
aff2.L	Proximal tubule cell	-1.7422933540345298e-08
aff2.L	Smooth muscle cell	0.0018656060431827548
aff2.L	Stomach parietal cell	0.0011295452883032242
aff2.L	Stromal cell	0.011428981353160061
aff2.L	T cell	0.005157605354906281
aff2.L	Taste cell	0.0029016191434411143
aff2.L	Thick Ascending Limb	-1.7425781928537276e-08
aff2.L	Unknown	0.0010813099352423583
aff4.L	Acinar cell	0.0011270142220421997
aff4.L	Antigen presentation cell	0.00401458658906495
aff4.L	B cell	0.008319760244708374
aff4.L	Cardiomyocytes	0.0018441505656590085
aff4.L	Chondrocyte	0.0013408003904357146
aff4.L	Ciliated cell	0.0015526782263926009
aff4.L	Collecting duct intercalated cell	0.0077658450965394366
aff4.L	Endocrine cell	0.005829581001733031
aff4.L	Endothelial cell	0.007597873546855927
aff4.L	Enterocyte	0.005119547236357769
aff4.L	Eosinophil	0.0049303202516537414
aff4.L	Epidermal stem cell	0.01941348381828667
aff4.L	Epithelial cell	0.02506770850700024
aff4.L	Erythrocyte	0.001723924761892759
aff4.L	Fast skeletal muscle cell	0.0028238735131682624
aff4.L	Fibroblast	0.006392388161234663
aff4.L	Hepatocyte	0.002282680494824718
aff4.L	Macrophage	0.023207574701246125
aff4.L	Melanocyte	0.0021187014968124807
aff4.L	Muscle satellite cell	0.004290216608034303
aff4.L	Neuron	5.689761994887022e-10
aff4.L	Oligodendrocyte	0.0008812128599668956
aff4.L	Osteoclast	0.0008190286475709962
aff4.L	Pit cell	0.008709746366259319
aff4.L	Proximal tubule cell	0.008895871180832349
aff4.L	Smooth muscle cell	0.0038182356602327605
aff4.L	Stomach parietal cell	0.0024953012933133234
aff4.L	Stromal cell	0.0021800119189891998
aff4.L	T cell	0.007069720268998769
aff4.L	Taste cell	5.68385671861904e-10
aff4.L	Thick Ascending Limb	0.003818527541288641
aff4.L	Unknown	0.004513685291125724
ahr.L	Acinar cell	-1.3278653510084837e-08
ahr.L	Antigen presentation cell	0.005009500957480539
ahr.L	B cell	0.0059872338318004426
ahr.L	Cardiomyocytes	0.005202635172579018
ahr.L	Chondrocyte	0.008739706996947927
ahr.L	Ciliated cell	0.0031347952882574415
ahr.L	Collecting duct intercalated cell	0.006611975369349876
ahr.L	Endocrine cell	0.007155756583287487
ahr.L	Endothelial cell	0.023277803209278303
ahr.L	Enterocyte	0.01021813302258301
ahr.L	Eosinophil	0.009092154720189094
ahr.L	Epidermal stem cell	0.00879113901105788
ahr.L	Epithelial cell	0.011672411695002771
ahr.L	Erythrocyte	0.009374101120992573
ahr.L	Fast skeletal muscle cell	-1.3278741661792992e-08
ahr.L	Fibroblast	0.031197009799001973
ahr.L	Hepatocyte	0.003962211288503048
ahr.L	Macrophage	0.019208987805218958
ahr.L	Melanocyte	0.004870312567908819
ahr.L	Muscle satellite cell	0.0076055739895970476
ahr.L	Neuron	0.006172750374207836
ahr.L	Oligodendrocyte	0.00985148256565016
ahr.L	Osteoclast	0.005640606605675336
ahr.L	Pit cell	0.00674401064191632
ahr.L	Proximal tubule cell	0.006867544432595851
ahr.L	Smooth muscle cell	0.011140650299422017
ahr.L	Stomach parietal cell	0.004742752625133684
ahr.L	Stromal cell	0.017323745059324658
ahr.L	T cell	0.010507718740579208
ahr.L	Taste cell	0.0028490775979337357
ahr.L	Thick Ascending Limb	0.0035713113798551133
ahr.L	Unknown	0.008556745667602228
alx1.L	Acinar cell	-1.1480878026048913e-08
alx1.L	Antigen presentation cell	-1.1480246531192506e-08
alx1.L	B cell	-1.1480187911416806e-08
alx1.L	Cardiomyocytes	0.0012505119114442076
alx1.L	Chondrocyte	0.007871048866291752
alx1.L	Ciliated cell	-1.1480904893446109e-08
alx1.L	Collecting duct intercalated cell	-1.1479838635253259e-08
alx1.L	Endocrine cell	0.0012706433300961884
alx1.L	Endothelial cell	0.000609040387451576
alx1.L	Enterocyte	0.0007361184395527909
alx1.L	Eosinophil	0.0014678571561210774
alx1.L	Epidermal stem cell	-1.147234374165862e-08
alx1.L	Epithelial cell	0.0005203169399016216
alx1.L	Erythrocyte	-1.1479947881198882e-08
alx1.L	Fast skeletal muscle cell	-1.1480966177757068e-08
alx1.L	Fibroblast	0.05123199343376772
alx1.L	Hepatocyte	0.002077474055810491
alx1.L	Macrophage	0.001150002088943114
alx1.L	Melanocyte	-1.14801155248756e-08
alx1.L	Muscle satellite cell	0.001988168860993178
alx1.L	Neuron	-1.1480255857065913e-08
alx1.L	Oligodendrocyte	0.0006608926163979012
alx1.L	Osteoclast	-1.1480993267198869e-08
alx1.L	Pit cell	0.0017621225867949786
alx1.L	Proximal tubule cell	0.0006222091751113545
alx1.L	Smooth muscle cell	0.010787259680891892
alx1.L	Stomach parietal cell	0.0014752754789620903
alx1.L	Stromal cell	0.008031666852583164
alx1.L	T cell	0.000730089615633922
alx1.L	Taste cell	0.001633346919068246
alx1.L	Thick Ascending Limb	-1.1480565387245178e-08
alx1.L	Unknown	0.001021478803267195
alx4.L	Acinar cell	1.2113992475804025e-08
alx4.L	Antigen presentation cell	1.2114623970660432e-08
alx4.L	B cell	1.2114682590436132e-08
alx4.L	Cardiomyocytes	1.2117057246463503e-08
alx4.L	Chondrocyte	0.0010317978702441
alx4.L	Ciliated cell	1.211396560840683e-08
alx4.L	Collecting duct intercalated cell	1.2115031755577377e-08
alx4.L	Endocrine cell	1.2116055936317593e-08
alx4.L	Endothelial cell	0.0017975843989497253
alx4.L	Enterocyte	1.2129915516467804e-08
alx4.L	Eosinophil	1.2115006331470113e-08
alx4.L	Epidermal stem cell	1.2122526649172016e-08
alx4.L	Epithelial cell	0.0002442066451048275
alx4.L	Erythrocyte	1.2114922731676359e-08
alx4.L	Fast skeletal muscle cell	1.211390432409587e-08
alx4.L	Fibroblast	0.002876917908568477
alx4.L	Hepatocyte	1.2115862757511309e-08
alx4.L	Macrophage	1.2116630254688232e-08
alx4.L	Melanocyte	1.211475508799964e-08
alx4.L	Muscle satellite cell	1.2115776160115388e-08
alx4.L	Neuron	1.2114614533764723e-08
alx4.L	Oligodendrocyte	1.2114792391493268e-08
alx4.L	Osteoclast	1.2113877234654069e-08
alx4.L	Pit cell	1.2115967340520228e-08
alx4.L	Proximal tubule cell	1.211715361382204e-08
alx4.L	Smooth muscle cell	0.0009321877380146226
alx4.L	Stomach parietal cell	1.2121228132322415e-08
alx4.L	Stromal cell	0.0020459706879142336
alx4.L	T cell	1.2118282377571177e-08
alx4.L	Taste cell	1.2114024006137925e-08
alx4.L	Thick Ascending Limb	1.211430511460776e-08
alx4.L	Unknown	1.2115543013280217e-08
ar.L	Acinar cell	0.0011616129544387288
ar.L	Antigen presentation cell	0.00028681457452206516
